timestamp	closed	open	lead_time	lead_time_sample	closed_issues
2009-04-17T11:40:31Z	0	1	0.0	nan	
2009-04-20T21:11:09Z	0	1	3.3962731481481483	3.3962731481481483	1
2009-05-15T20:15:46Z	1	1	28.3578125	nan	
2009-05-21T20:34:41Z	1	2	34.370949074074076	nan	
2009-05-27T17:18:56Z	1	3	40.23501157407407	nan	
2009-06-04T00:48:08Z	1	4	47.54695601851852	nan	
2009-06-09T16:19:57Z	1	5	53.19405092592593	nan	
2009-06-26T16:00:09Z	1	6	70.18030092592592	nan	
2009-06-28T07:39:10Z	1	6	71.83239583333334	1.6520949074074074	7
2009-07-07T01:00:51Z	2	6	52.197974537037034	nan	
2009-07-21T18:14:40Z	2	7	66.91590277777777	nan	
2009-07-22T23:23:29Z	2	7	68.13035879629629	15.932384259259258	8
2009-07-22T23:24:17Z	3	6	62.117777777777775	1.2150115740740741	9
2009-07-22T23:24:41Z	4	5	56.253993055555554	43.294953703703705	6
2009-07-22T23:24:57Z	5	4	48.94223379629629	48.94223379629629	5
2009-07-22T23:25:27Z	6	3	43.29548611111111	56.25452546296296	4
2009-07-22T23:25:42Z	7	2	26.309409722222224	62.11876157407407	3
2009-07-22T23:25:54Z	8	1	15.9340625	68.13203703703704	2
2010-09-09T12:09:27Z	9	1	414.7463773148148	nan	
2010-09-11T22:29:58Z	9	2	417.1772916666667	nan	
2010-09-11T22:44:37Z	9	2	417.1874652777778	0.01017361111111111	11
2010-09-15T12:37:31Z	10	2	6.019490740740741	nan	
2010-09-21T10:22:46Z	10	2	11.925914351851851	5.906423611111111	12
2010-09-25T15:04:21Z	11	2	13.69054398148148	nan	
2010-10-05T14:46:48Z	11	3	23.678356481481483	nan	
2010-10-11T18:22:48Z	11	3	29.82835648148148	6.15	14
2010-10-19T22:42:00Z	12	3	34.419780092592596	nan	
2010-10-21T10:21:28Z	12	4	35.905520833333334	nan	
2010-10-26T19:52:32Z	12	5	41.30209490740741	nan	
2010-11-02T22:47:56Z	12	5	48.42390046296296	12.51837962962963	16
2010-11-02T22:50:01Z	13	4	38.32337962962963	14.005567129629629	15
2010-11-02T22:59:13Z	14	3	28.34195601851852	7.129641203703704	17
2010-11-18T03:26:05Z	15	3	29.197280092592592	nan	
2010-11-18T19:43:57Z	15	4	29.876354166666665	nan	
2010-11-24T00:15:13Z	15	5	35.064733796296295	nan	
2010-11-25T18:51:27Z	15	6	36.83989583333334	nan	
2010-11-30T01:32:38Z	15	7	41.11849537037037	nan	
2010-11-30T09:02:59Z	15	7	41.431238425925926	5.933813657407407	22,19
2010-11-30T09:16:08Z	17	5	34.558055555555555	4.600474537037037	21
2010-11-30T19:08:03Z	18	5	12.654143518518518	nan	
2010-11-30T23:43:11Z	18	5	12.845208333333334	0.19106481481481483	23
2010-12-01T00:01:59Z	19	4	12.179189814814816	6.990810185185185	20
2010-12-07T00:55:45Z	20	4	13.028148148148148	nan	
2010-12-07T20:19:23Z	20	4	13.836226851851851	0.8080787037037037	24
2010-12-15T06:17:20Z	21	4	19.47630787037037	nan	
2010-12-15T06:19:06Z	21	5	19.477534722222224	nan	
2010-12-27T00:45:15Z	21	5	31.245694444444446	11.768159722222222	26
2010-12-27T14:31:52Z	22	5	27.54113425925926	nan	
2011-01-04T00:58:11Z	22	6	34.97607638888889	nan	
2011-01-08T23:50:17Z	22	7	39.92892361111111	nan	
2011-01-20T02:26:57Z	22	8	51.03771990740741	nan	
2011-01-20T21:00:03Z	22	9	51.810706018518516	nan	
2011-01-25T11:49:32Z	22	10	56.42840277777778	nan	
2011-01-29T13:42:26Z	22	11	60.50680555555556	nan	
2011-02-10T08:28:18Z	22	12	72.28865740740741	nan	
2011-02-19T12:16:05Z	22	13	81.44684027777778	nan	
2011-02-21T21:05:02Z	22	14	83.81416666666667	nan	
2011-03-09T04:30:10Z	22	15	99.12328703703703	nan	
2011-03-11T21:51:25Z	22	16	101.84637731481482	nan	
2011-03-11T22:31:39Z	22	17	101.87431712962963	nan	
2011-03-13T19:14:11Z	22	17	103.7371875	43.230381944444446	33
2011-03-13T19:14:15Z	23	16	103.00430555555556	22.290393518518517	35
2011-03-13T19:14:18Z	24	15	96.76288194444444	4.613981481481481	37
2011-03-13T22:07:01Z	25	14	88.65950231481482	31.56855324074074	34
2011-03-13T22:23:03Z	26	13	88.66940972222223	76.32721064814815	27
2011-03-13T22:24:39Z	27	12	76.32832175925925	115.7906712962963	18
